fichier,duree_ms,duree_decode_ms,duree_inference_ms,vram_pic_go,retry,json_valide,raw,pred_name,pred_set_code,pred_set_number
0aa7a160_original.png,12414.0,460.0,11954.0,7.08,False,True,"```json {""name"": ""Octillery"", ""set_code"": ""TWMFR"", ""set_number"": ""050/130""} ```",Octillery,TWMFR,050/130
2b6838d7_original.png,8995.9,310.2,8685.8,7.08,False,True,"```json {""name"": ""Funécire"", ""set_code"": ""TWMFR"", ""set_number"": ""036/167""} ```",Funécire,TWMFR,036/167
4ab29752_original.png,8829.8,391.1,8438.7,7.08,False,True,"```json {""name"": ""Octillery"", ""set_code"": ""TG03"", ""set_number"": ""TG30""} ```",Octillery,TG03,TG30
4af6727c_original.png,6018.0,409.4,5608.6,7.08,False,True,"```json {""name"": ""Arcanin de Hisui"", ""set_code"": ""TWMFR"", ""set_number"": ""0059""} ```",Arcanin de Hisui,TWMFR,0059
8f17caf4_cell_01.png,4774.8,28.5,4746.3,7.01,False,True,"```json {""name"": ""Mimigal"", ""set_code"": ""TWMFR"", ""set_number"": ""004/157""} ```",Mimigal,TWMFR,004/157
8f17caf4_cell_02.png,8563.2,22.7,8540.5,7.01,False,True,"```json {""name"": ""Charpenti"", ""set_code"": ""TWMFR"", ""set_number"": ""103/167""} ```",Charpenti,TWMFR,103/167
8f17caf4_cell_03.png,8047.9,30.6,8017.3,7.01,False,True,"```json {""name"": ""Kadabra"", ""set_code"": ""TWMFR"", ""set_number"": ""081/167""} ```",Kadabra,TWMFR,081/167
8f17caf4_cell_04.png,8152.3,24.5,8127.7,7.01,False,True,"```json {""name"": ""Muciole"", ""set_code"": ""TWMFR"", ""set_number"": ""009/167""} ```",Muciole,TWMFR,009/167
8f17caf4_cell_05.png,8349.1,55.4,8293.7,7.01,False,True,"```json {""name"": ""Fantyrm"", ""set_code"": ""TWMFR"", ""set_number"": ""128/167""} ```",Fantyrm,TWMFR,128/167
8f17caf4_cell_06.png,7695.4,49.2,7646.2,7.01,False,True,"```json {""name"": ""Grenousse"", ""set_code"": ""TWMFR"", ""set_number"": ""056/167""} ```",Grenousse,TWMFR,056/167
8f17caf4_cell_07.png,5126.9,32.3,5094.6,7.01,False,True,"```json {""name"": ""Luxio"", ""set_code"": ""TWMFR"", ""set_number"": ""067/167""} ```",Luxio,TWMFR,067/167
8f17caf4_cell_08.png,5023.2,85.7,4937.5,7.01,False,True,"```json {""name"": ""Poissirène"", ""set_code"": ""TWMFR"", ""set_number"": ""044/167""} ```",Poissirène,TWMFR,044/167
8f17caf4_cell_09.png,4664.0,22.2,4641.9,7.01,False,True,"```json {""name"": ""Évoli"", ""set_code"": ""TWMFR"", ""set_number"": ""135/167""} ```",Évoli,TWMFR,135/167
cdc2405a_original.png,5573.1,230.1,5343.0,7.08,False,True,"```json {""name"": ""NoctaliVMAX"", ""set_code"": ""B15FR"", ""set_number"": ""095/203""} ```",NoctaliVMAX,B15FR,095/203
f369c2f6_original.png,6107.0,195.1,5912.0,7.08,False,True,"```json {""name"": ""Canarticho"", ""set_code"": ""TWMFR"", ""set_number"": ""132/167""} ```",Canarticho,TWMFR,132/167
